Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,3096.01001,3108.919922,3035.040039,3074.860107,3074.860107,0
2021-02-11,3107.169922,3182.620117,3106.149902,3180.840088,3180.840088,0
2021-02-12,3172.22998,3226.080078,3155.590088,3219.870117,3219.870117,0
2021-02-16,3250.560059,3269.02002,3222.439941,3238.919922,3238.919922,0
2021-02-17,3197.27002,3216.389893,3138.050049,3178.23999,3178.23999,0
2021-02-18,3142.23999,3160.02002,3108.469971,3146.790039,3146.790039,0
2021-02-19,3195.060059,3241.709961,3188.120117,3223.459961,3223.459961,0
2021-02-22,3181.320068,3202.550049,3093.580078,3102.01001,3102.01001,0
2021-02-23,3041.870117,3105.040039,2960.360107,3083.879883,3083.879883,0
2021-02-24,3063.169922,3186.120117,3037.070068,3183.73999,3183.73999,0
2021-02-25,3142.899902,3163.530029,2988.429932,2999.159912,2999.159912,0
2021-02-26,3041.800049,3096.949951,2991.080078,3067.620117,3067.620117,0
2021-03-01,3118.429932,3172.419922,3093.590088,3169.110107,3169.110107,0
2021-03-02,3165.389893,3166.570068,3068.25,3070.939941,3070.939941,0
2021-03-03,3068.199951,3079.939941,2972.850098,2975.580078,2975.580078,0
2021-03-04,2947.909912,2980.080078,2793.820068,2831.629883,2831.629883,0
2021-03-05,2897.97998,2928.120117,2764.820068,2920.75,2920.75,0
2021-03-08,2905.780029,2923.639893,2759.199951,2762.75,2762.75,0
2021-03-09,2861.050049,2952.120117,2853.649902,2932.209961,2932.209961,0
2021-03-10,2969.939941,2976.060059,2876.179932,2879.320068,2879.320068,0
2021-03-11,2965.209961,3015.040039,2948.379883,2997.129883,2997.129883,0
2021-03-12,2933.800049,2970.110107,2924.340088,2965.090088,2965.090088,0
2021-03-15,2983.52002,3034.050049,2963.689941,3032.050049,3032.050049,0
2021-03-16,3058.330078,3116.110107,3051.649902,3070.320068,3070.320068,0
2021-03-17,3024.820068,3130.02002,3004.070068,3107.919922,3107.919922,0
2021-03-18,3058.610107,3069.310059,2974.72998,2976.219971,2976.219971,0
2021-03-19,2976.639893,3039.389893,2945.459961,3011.370117,3011.370117,0
2021-03-22,3055.409912,3112.439941,3040.669922,3077.550049,3077.550049,0
2021-03-23,3082.02002,3082.22998,2982.209961,2994.209961,2994.209961,0
2021-03-24,3049.790039,3057.399902,2952.26001,2953.969971,2953.969971,0
2021-03-25,2902.429932,2971.76001,2881.01001,2959.879883,2959.879883,0
2021-03-26,2961.22998,3110.709961,2958.800049,3106.280029,3106.280029,0
2021-03-29,3077.149902,3085.629883,3021.97998,3054.629883,3054.629883,0
2021-03-30,3034.800049,3055.75,3013.27002,3044.550049,3044.550049,0
2021-03-31,3073.469971,3147.050049,3072.540039,3124.939941,3124.939941,0
2021-04-01,3187.290039,3242.330078,3180.47998,3240.169922,3240.169922,0
2021-04-05,3282.909912,3314.159912,3255.280029,3305.429932,3305.429932,0
2021-04-06,3283.459961,3304.47998,3236.860107,3266.100098,3266.100098,0
2021-04-07,3259.26001,3281.399902,3241.060059,3266.459961,3266.459961,0
2021-04-08,3301.419922,3304.540039,3274.040039,3301.26001,3301.26001,0
2021-04-09,3272.389893,3295.76001,3262.929932,3294.530029,3294.530029,0
2021-04-12,3273.600098,3274.610107,3231.129883,3258.330078,3258.330078,0
2021-04-13,3275.52002,3284.850098,3223.459961,3252.699951,3252.699951,0
2021-04-14,3244.560059,3268.870117,3200.459961,3213.879883,3213.879883,0
2021-04-15,3250.310059,3276.560059,3226.100098,3271.330078,3271.330078,0
2021-04-16,3274.149902,3275.590088,3248.459961,3253.080078,3253.080078,0
2021-04-19,3228.01001,3240.949951,3141.199951,3171,3171,0
2021-04-20,3158.860107,3171.169922,3106.189941,3121.429932,3121.429932,0
2021-04-21,3128.22998,3209.280029,3113.73999,3207.25,3207.25,0
2021-04-22,3203.850098,3206.889893,3119.01001,3133.169922,3133.169922,0
2021-04-23,3147.100098,3207.330078,3145.75,3196.97998,3196.97998,0
2021-04-26,3199.51001,3256.169922,3195.370117,3250.26001,3250.26001,0
2021-04-27,3266.25,3266.25,3220.340088,3225.610107,3225.610107,0
2021-04-28,3208.600098,3208.600098,3175.610107,3178.48999,3178.48999,0
2021-04-29,3218.360107,3222.290039,3153.97998,3202.5,3202.5,0
2021-04-30,3145.51001,3169.379883,3101.379883,3108.98999,3108.98999,0
2021-05-03,3130.060059,3134.060059,3060,3073.379883,3073.379883,0
2021-05-04,3029.300049,3036.100098,2969.120117,3024.310059,3024.310059,0
2021-05-05,3063.23999,3080.689941,3022.699951,3042.879883,3042.879883,0
2021-05-06,3032.550049,3068.530029,3002.73999,3066.219971,3066.219971,0
2021-05-07,3103.949951,3129.870117,3085.73999,3112.030029,3112.030029,0
2021-05-10,3077.280029,3078.389893,2965.419922,2967.110107,2967.110107,0
2021-05-11,2876.27002,2982.840088,2872.310059,2976.01001,2976.01001,0
2021-05-12,2906.439941,2926.860107,2842.330078,2851.149902,2851.149902,0
2021-05-13,2899.800049,2934.449951,2862.879883,2893.939941,2893.939941,0
2021-05-14,2932.040039,3006.139893,2907.399902,2981.419922,2981.419922,0
2021-05-17,2946.810059,2955.610107,2904.25,2954.629883,2954.629883,0
2021-05-18,2977.860107,2985.929932,2927.340088,2929.149902,2929.149902,0
2021-05-19,2864.350098,2989.820068,2862.679932,2987.280029,2987.280029,0
2021-05-20,3010.790039,3078.300049,3009.97998,3066.110107,3066.110107,0
2021-05-21,3085.669922,3086.830078,3044.899902,3052.100098,3052.100098,0
2021-05-24,3082.439941,3141.810059,3079.669922,3122.97998,3122.97998,0
2021-05-25,3145.669922,3157.790039,3117.27002,3134.669922,3134.669922,0
2021-05-26,3135.899902,3156.77002,3115.219971,3140.97998,3140.97998,0
2021-05-27,3134.209961,3170.860107,3130.639893,3159.27002,3159.27002,0
2021-05-28,3172.52002,3200.350098,3163.77002,3186.560059,3186.560059,0
2021-06-01,3210.100098,3233.889893,3160.350098,3174.320068,3174.320068,0
2021-06-02,3167.709961,3206.820068,3163.790039,3196.97998,3196.97998,0
2021-06-03,3161.129883,3171.780029,3126.959961,3139.189941,3139.189941,0
2021-06-04,3170.110107,3221.780029,3170.110107,3214.139893,3214.139893,0
2021-06-07,3199.100098,3205.300049,3172.52002,3191.659912,3191.659912,0
2021-06-08,3221.449951,3221.449951,3150.26001,3171.219971,3171.219971,0
2021-06-09,3183.409912,3190.659912,3157.820068,3158.47998,3158.47998,0
2021-06-10,3165.199951,3205.77002,3156.800049,3196.209961,3196.209961,0
2021-06-11,3198.889893,3210.27002,3186.26001,3210.060059,3210.060059,0
2021-06-14,3213.560059,3255.590088,3199.969971,3255.340088,3255.340088,0
2021-06-15,3248.129883,3265.560059,3218.22998,3225.97998,3225.97998,0
2021-06-16,3237.01001,3246.320068,3173.540039,3201.01001,3201.01001,0
2021-06-17,3189.25,3255.310059,3189.129883,3231.709961,3231.709961,0
2021-06-18,3205.790039,3210.969971,3137.590088,3152.810059,3152.810059,0
2021-06-21,3153.199951,3174.870117,3132.919922,3171.98999,3171.98999,0
2021-06-22,3166.620117,3192.550049,3155.080078,3185.429932,3185.429932,0
2021-06-23,3191.570068,3214.709961,3191.530029,3197.219971,3197.219971,0
2021-06-24,3228.709961,3258.439941,3226.030029,3253.800049,3253.800049,0
2021-06-25,3263.449951,3270.209961,3233.649902,3241.47998,3241.47998,0
2021-06-28,3274.389893,3333.679932,3274.060059,3323.139893,3323.139893,0
2021-06-29,3321.550049,3349.98999,3304.98999,3348.870117,3348.870117,0
2021-06-30,3346.570068,3350.969971,3326.080078,3345.310059,3345.310059,0
2021-07-01,3336.129883,3340.159912,3288.909912,3295.060059,3295.060059,0
2021-07-02,3323.159912,3323.600098,3289.419922,3315.830078,3315.830078,0
2021-07-06,3327.01001,3335.929932,3268.139893,3307.919922,3307.919922,0
2021-07-07,3331.330078,3331.330078,3250.52002,3261.72998,3261.72998,0
2021-07-08,3185.540039,3239.370117,3172.409912,3222.810059,3222.810059,0
2021-07-09,3229.469971,3282.320068,3212.709961,3278.389893,3278.389893,0
2021-07-12,3292.639893,3319.939941,3281.639893,3319,3319,0
2021-07-13,3309.590088,3319.100098,3289.689941,3300.810059,3300.810059,0
2021-07-14,3338.050049,3357.97998,3283.689941,3289.179932,3289.179932,0
