Date,Open,High,Low,Close,Adj Close,Volume
2019-04-30,79400.000000,80700.000000,78100.000000,79000.000000,74500.546875,2960242
2019-05-02,79700.000000,81200.000000,79100.000000,80700.000000,76103.718750,3092434
2019-05-03,81100.000000,81300.000000,80300.000000,80400.000000,75820.789063,2481811
2019-05-07,79200.000000,80400.000000,78700.000000,79900.000000,75349.281250,2700371
2019-05-08,78700.000000,80500.000000,78000.000000,80300.000000,75726.484375,2731620
2019-05-09,79600.000000,79700.000000,75200.000000,76000.000000,71671.390625,5939278
2019-05-10,76100.000000,76700.000000,73400.000000,74400.000000,70162.539063,5702537
2019-05-13,73900.000000,75000.000000,72800.000000,73500.000000,69313.796875,3062929
2019-05-14,72200.000000,75100.000000,71600.000000,74600.000000,70351.140625,3712697
2019-05-15,74800.000000,75100.000000,73900.000000,74500.000000,70256.835938,2056131
2019-05-16,74400.000000,75100.000000,71600.000000,71900.000000,67804.921875,3467027
2019-05-17,72500.000000,73300.000000,71400.000000,71600.000000,67522.007813,2412668
2019-05-20,71800.000000,72800.000000,70700.000000,70900.000000,66861.875000,1970694
2019-05-21,70500.000000,72200.000000,69700.000000,70300.000000,66296.039063,3893536
2019-05-22,71300.000000,71300.000000,68500.000000,68900.000000,64975.789063,3128787
2019-05-23,68400.000000,69100.000000,67300.000000,68000.000000,64127.054688,3108370
2019-05-24,67300.000000,68600.000000,67000.000000,67600.000000,63749.816406,3339145
2019-05-27,67900.000000,68200.000000,66400.000000,66900.000000,63089.691406,2214176
2019-05-28,67200.000000,68300.000000,65900.000000,65900.000000,62146.652344,12052399
2019-05-29,65600.000000,66700.000000,64900.000000,66100.000000,62335.257813,6056903
2019-05-30,66300.000000,66900.000000,65800.000000,65900.000000,62146.652344,3023108
2019-05-31,65900.000000,66900.000000,64700.000000,65300.000000,61580.824219,3191350
2019-06-03,65200.000000,67200.000000,64200.000000,66600.000000,62806.789063,4020572
2019-06-04,66500.000000,66700.000000,65100.000000,65100.000000,61392.214844,2892681
2019-06-05,66900.000000,67600.000000,64900.000000,65100.000000,61392.214844,4832796
2019-06-07,65200.000000,66000.000000,64600.000000,65400.000000,61675.128906,2355869
2019-06-10,66100.000000,67000.000000,65800.000000,66800.000000,62995.390625,3091757
